user_id,activity_id,activity_name,category,activity_type,user_mood,user_interest_score,label
8,108,Volunteer at shelter,Social,Social,Curious,0.86,1
1,108,Volunteer at shelter,Social,Social,Energetic,0.26,0
28,106,Yoga retreat,Wellness,Wellness,Curious,0.87,0
8,104,Kayaking at lake,Outdoors,Adventurous,Curious,0.84,0
6,114,Dance lessons,Skill,Skill-building,Curious,0.51,0
43,111,Rock climbing,Outdoors,Adventurous,Calm,0.24,1
42,103,Solo cooking class,Skill,Skill-building,Anxious,0.21,1
29,102,Visit art museum,Culture,Relaxing,Relaxed,0.3,1
25,101,Hiking in mountains,Outdoors,Adventurous,Happy,0.3,1
39,102,Visit art museum,Culture,Relaxing,Relaxed,0.32,0
14,112,Painting class,Culture,Skill-building,Happy,0.67,1
49,113,Wine tasting,Social,Relaxing,Relaxed,0.69,0
10,106,Yoga retreat,Wellness,Wellness,Anxious,0.78,1
18,105,Attend book club,Social,Social,Focused,0.53,1
41,106,Yoga retreat,Wellness,Wellness,Focused,0.74,0
33,106,Yoga retreat,Wellness,Wellness,Calm,0.63,0
24,113,Wine tasting,Social,Relaxing,Relaxed,0.58,0
31,101,Hiking in mountains,Outdoors,Adventurous,Anxious,0.64,0
43,109,Learn guitar,Skill,Skill-building,Focused,0.79,0
4,115,Camping trip,Outdoors,Adventurous,Curious,0.17,1
38,109,Learn guitar,Skill,Skill-building,Energetic,0.67,1
20,115,Camping trip,Outdoors,Adventurous,Energetic,0.35,1
25,107,Photography workshop,Skill,Skill-building,Curious,0.66,1
42,115,Camping trip,Outdoors,Adventurous,Anxious,0.91,1
23,107,Photography workshop,Skill,Skill-building,Focused,0.82,1
46,112,Painting class,Culture,Skill-building,Relaxed,1.0,0
44,102,Visit art museum,Culture,Relaxing,Relaxed,0.91,0
49,112,Painting class,Culture,Skill-building,Happy,0.11,1
39,110,Meditation session,Wellness,Wellness,Energetic,0.4,0
14,105,Attend book club,Social,Social,Curious,0.53,0
7,114,Dance lessons,Skill,Skill-building,Curious,0.78,1
47,115,Camping trip,Outdoors,Adventurous,Anxious,0.33,0
9,111,Rock climbing,Outdoors,Adventurous,Curious,0.8,1
19,106,Yoga retreat,Wellness,Wellness,Energetic,0.33,1
4,105,Attend book club,Social,Social,Calm,0.9,1
16,113,Wine tasting,Social,Relaxing,Anxious,0.32,0
6,107,Photography workshop,Skill,Skill-building,Happy,0.89,0
33,112,Painting class,Culture,Skill-building,Calm,0.61,0
37,106,Yoga retreat,Wellness,Wellness,Calm,0.98,1
47,112,Painting class,Culture,Skill-building,Relaxed,0.05,0
23,113,Wine tasting,Social,Relaxing,Energetic,0.89,1
17,104,Kayaking at lake,Outdoors,Adventurous,Focused,0.15,0
22,114,Dance lessons,Skill,Skill-building,Relaxed,0.16,0
17,110,Meditation session,Wellness,Wellness,Calm,0.57,0
36,114,Dance lessons,Skill,Skill-building,Happy,0.48,0
24,109,Learn guitar,Skill,Skill-building,Curious,0.16,0
33,103,Solo cooking class,Skill,Skill-building,Relaxed,0.82,1
45,113,Wine tasting,Social,Relaxing,Happy,0.59,0
29,107,Photography workshop,Skill,Skill-building,Happy,0.16,0
33,115,Camping trip,Outdoors,Adventurous,Happy,0.13,1
35,107,Photography workshop,Skill,Skill-building,Calm,0.41,0
34,108,Volunteer at shelter,Social,Social,Curious,0.51,0
23,106,Yoga retreat,Wellness,Wellness,Happy,0.77,0
3,105,Attend book club,Social,Social,Anxious,0.24,0
1,109,Learn guitar,Skill,Skill-building,Anxious,0.35,1
12,109,Learn guitar,Skill,Skill-building,Energetic,0.82,0
20,106,Yoga retreat,Wellness,Wellness,Curious,0.63,1
21,107,Photography workshop,Skill,Skill-building,Curious,0.34,1
28,106,Yoga retreat,Wellness,Wellness,Anxious,0.55,1
45,101,Hiking in mountains,Outdoors,Adventurous,Relaxed,0.5,0
27,102,Visit art museum,Culture,Relaxing,Curious,0.3,0
16,112,Painting class,Culture,Skill-building,Calm,0.73,0
